category,address_raw,address_processed,address_reversed,longitude,latitude
AI-generated Address,"1619 Roxas Boulevard, Barangay Malate, Manila City, Metro Manila, Philippines","1619 Roxas Boulevard, Barangay Malate, Manila City, Metro Manila, Philippines","Roxas Boulevard, Barangay 76, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9873512,14.5588583
AI-generated Address,"1619 Roxas Boulevard, Barangay Malate, Manila City, Metro Manila, Philippines","1619 Roxas Boulevard, Barangay Malate, City of Manila, Metro Manila, Philippines","Roxas Boulevard, Barangay 76, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9873512,14.5588583
AI-generated Address,"Barangay Poblacion 2, Muntinlupa City","Barangay Poblacion 2, Muntinlupa City","Barangay Buli Road, Buli, Muntinlupa, Southern Manila District, Metro Manila, 1771, Pilipinas",121.0517701,14.4421701
AI-generated Address,"Barangay Poblacion 2, Muntinlupa City","Barangay Poblacion 2, Muntinlupa City.","Barangay Buli Road, Buli, Muntinlupa, Southern Manila District, Metro Manila, 1771, Pilipinas",121.0517701,14.4421701
AI-generated Address,"Lot 18 Block 6 Palm Village, Davao City","Palm Village, Davao City","Palm Village, Poblacion, Davao City, Davao Region, Pilipinas",125.61533857563458,7.091868
AI-generated Address,"88 Mabini Street, Poblacion, Makati City","88 Mabini Street, Poblacion, Makati City","A. Mabini Street, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0303442,14.5696341
AI-generated Address,"88 Mabini Street, Poblacion, Makati City","Mabini Street, Poblacion, Makati City","A. Mabini Street, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0303442,14.5696341
AI-generated Address,"9101 Brgy. Burol, Dasmarinas City, Cavite","Brgy. Burol, Dasmarinas City, Cavite","Burol Main Barangay Hall, Estanislao Carungcong Road, Burol, Dasmariñas, Cavite, Calabarzon, 4114, Pilipinas",120.94905942076431,14.3293444
AI-generated Address,"6789 Brgy. Tinago, Cebu City, Cebu","Brgy. Tinago, Cebu City, Cebu","Tinago Barangay Hall, C. Arellano Boulevard, Tinago, Cebu City, Central Visayas, 6000, Pilipinas",123.9087757,10.29700965
AI-generated Address,"6789 Brgy. Tinago, Cebu City, Cebu","Brgy. Tinago, Cebu City, Cebu.","Tinago Barangay Hall, C. Arellano Boulevard, Tinago, Cebu City, Central Visayas, 6000, Pilipinas",123.9087757,10.29700965
AI-generated Address,"6789 Brgy. Tinago, Cebu City, Cebu","Brgy Tinago, Cebu City, Cebu","Tinago Barangay Hall, C. Arellano Boulevard, Tinago, Cebu City, Central Visayas, 6000, Pilipinas",123.9087757,10.29700965
AI-generated Address,"1357 Brgy. San Francisco, Quezon City, Metro Manila","Brgy. San Francisco, Quezon City, Metro Manila","San Antonio Barangay Hall, 323, Fernando Poe Jr. Avenue, San Antonio, San Francisco del Monte, 1st District, Quezon City, Eastern Manila District, Metro Manila, 1105, Pilipinas",121.01876486957002,14.654558
AI-generated Address,"222 Davao Rd., Barangay Agdao, Davao City","222 Davao Road, Barangay Agdao, Davao City","Davao City Coastal Road, San Roque, Leon Garcia, Agdao District, Davao City, Davao Region, 8000, Pilipinas",125.6315052,7.0854443
AI-generated Address,"222 Davao Rd., Barangay Agdao, Davao City","222 Davao Road, Barangay Agdao, Davao City.","Davao City Coastal Road, San Roque, Leon Garcia, Agdao District, Davao City, Davao Region, 8000, Pilipinas",125.6315052,7.0854443
AI-generated Address,"Unit 302, Green Residences, Taft Avenue, Barangay Malate, Manila, Philippines","Green Residences, Taft Avenue, Barangay Malate, Manila, Philippines.","SM Green Residences, Taft Avenue, Barangay 726, Agno, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9924793607434,14.56737305
AI-generated Address,"Unit 302, Green Residences, Taft Avenue, Barangay Malate, Manila, Philippines","Green Residences, Taft Avenue, Barangay Malate, Manila, Philippines","SM Green Residences, Taft Avenue, Barangay 726, Agno, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9924793607434,14.56737305
AI-generated Address,"21 Roxas Boulevard, Barangay 76, Pasay City","Roxas Boulevard, Barangay 76, Pasay City","Roxas Boulevard, City Garden Town Homes, Barangay 76, Zone 10, District 1, Pasay, Southern Manila District, Metro Manila, 1308, Pilipinas",120.9925814,14.5351811
AI-generated Address,"21 Roxas Boulevard, Barangay 76, Pasay City","21 Roxas Boulevard, Barangay 76, Pasay City","Roxas Boulevard, City Garden Town Homes, Barangay 76, Zone 10, District 1, Pasay, Southern Manila District, Metro Manila, 1308, Pilipinas",120.9925814,14.5351811
AI-generated Address,"123 Mayon Street, Barangay Santa Mesa, Manila","123 Mayon Street, Santa Mesa, Manila","Mayon Street, Santa Teresita, Santa Mesa Heights, 1st District, Quezon City, Eastern Manila District, Metro Manila, 1114, Pilipinas",121.001582,14.618036
AI-generated Address,"Unit 301, Magnolia Residences, N Domingo St, New Manila, Quezon City","Magnolia Residences, N Domingo Street, New Manila, Quezon City","The Magnolia Residences Tower A, N. Domingo Street, Horseshoe Village, Kaunlaran, Cubao, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1112, Pilipinas",121.03901969565216,14.6149518
AI-generated Address,"Brgy. Anunas, Angeles City, Pampanga, Central Luzon","Anunas, Angeles City, Pampanga, Central Luzon","Edilberto M. Ganzon Elementary School, Anunas, Purok 2, Angeles, Central Luzon, 2009, Pilipinas",120.55527649098674,15.15551425
AI-generated Address,"Brgy. Tabunok, Talisay City, Cebu","Brgy. Tabunok, Talisay City, Cebu","Jaclupan Barangay Hall, Toledo - Tabunok Road, Camp 4, Iba, Talisay, Cebu, Central Visayas, 6045, Pilipinas",123.81767336246828,10.3008606
AI-generated Address,"Brgy. Tabunok, Talisay City, Cebu","Brgy. Tabunok, Talisay City, Cebu.","Jaclupan Barangay Hall, Toledo - Tabunok Road, Camp 4, Iba, Talisay, Cebu, Central Visayas, 6045, Pilipinas",123.81767336246828,10.3008606
AI-generated Address,"45 Sampaguita Street, Ayala Alabang Village, Muntinlupa City","Sampaguita Street, Ayala Alabang Village, Muntinlupa City","Sampaguita Street, Ayala Alabang, Muntinlupa, Southern Manila District, Metro Manila, 1780, Pilipinas",121.0137593,14.3984468
AI-generated Address,"45 Sampaguita Street, Ayala Alabang Village, Muntinlupa City","45 Sampaguita Street, Ayala Alabang Village, Muntinlupa City","Sampaguita Street, Ayala Alabang, Muntinlupa, Southern Manila District, Metro Manila, 1780, Pilipinas",121.0137593,14.3984468
AI-generated Address,"Lot 2, Block 7, Dasmariñas Village, Makati City","Dasmariñas Village, Makati City","Dasmariñas Village, District I, Makati, Southern Manila District, Metro Manila, Pilipinas",121.02619788147592,14.54076535
AI-generated Address,"Lot 2, Block 7, Dasmariñas Village, Makati City","Dasmariñas Village, Makati City.","Dasmariñas Village, District I, Makati, Southern Manila District, Metro Manila, Pilipinas",121.02619788147592,14.54076535
AI-generated Address,"Barangay Bagumbayan, Quezon City","Barangay Bagumbayan, Quezon City","Bagumbayan Barangay Hall, San Roque, Bagumbayan, 3rd District, Quezon City, Eastern Manila District, Metro Manila, 1110, Pilipinas",121.08246445,14.60830155
AI-generated Address,"Lot 12, Bonifacio Global City, Taguig City","Bonifacio Global City, Taguig City","Fully Booked, B6, Bonifacio High Street, Fort Bonifacio, Taguig, Southern Manila District, Metro Manila, 1635, Pilipinas",121.0527688,14.5496723
AI-generated Address,"Lot 8, Block 2, Magallanes Village, Barangay Magallanes, Makati City","Magallanes Village, Barangay Magallanes, Makati City","Magallanes, EDSA, Ecology Village San EDSA Sector, Magallanes, District I, Makati, Southern Manila District, Metro Manila, 1232, Pilipinas",121.01933260268092,14.54197105
AI-generated Address,"P. Burgos Street, Barangay Poblacion, Makati City","P. Burgos Street, Poblacion, Makati City","P. Burgos Street, Bel-Air Village Phase I and II, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0298719,14.5634204
AI-generated Address,"124 Maginhawa Street, Sikatuna Village, Quezon City","124 Maginhawa Street, Sikatuna Village, Quezon City","Maginhawa Street, Sikatuna Village, Diliman, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1101, Pilipinas",121.0611054,14.6423794
AI-generated Address,"Block 5 Lot 12 Dasmariñas Village, Makati City","Dasmariñas Village, Makati City.","Dasmariñas Village, District I, Makati, Southern Manila District, Metro Manila, Pilipinas",121.02619788147592,14.54076535
AI-generated Address,"Block 5 Lot 12 Dasmariñas Village, Makati City","Dasmariñas Village, Makati City","Dasmariñas Village, District I, Makati, Southern Manila District, Metro Manila, Pilipinas",121.02619788147592,14.54076535
AI-generated Address,"Unit 301, Tower A, Magnolia Residences, N. Domingo St., New Manila, Quezon City","Magnolia Residences, N. Domingo Street, New Manila, Quezon City","The Magnolia Residences Tower A, N. Domingo Street, Horseshoe Village, Kaunlaran, Cubao, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1112, Pilipinas",121.03901969565216,14.6149518
AI-generated Address,"Lot 8, Block 12, Phase 2, BF Homes, Parañaque City","BF Homes, Parañaque City","NISSAN PARAÑAQUE CITY, Doctor A. Santos Avenue, Saint Rita Village, BF Homes, Parañaque, Southern Manila District, Metro Manila, 1700, Pilipinas",121.02940398270404,14.4595635
AI-generated Address,"Lot 8, Block 12, Phase 2, BF Homes, Parañaque City","BF Homes, Parañaque City.","NISSAN PARAÑAQUE CITY, Doctor A. Santos Avenue, Saint Rita Village, BF Homes, Parañaque, Southern Manila District, Metro Manila, 1700, Pilipinas",121.02940398270404,14.4595635
AI-generated Address,"45 Governor Drive, Barangay Mabuhay, Carmona, Cavite","45 Governor Drive, Barangay Mabuhay, Carmona, Cavite","Governor's Drive, Mabuhay, Carmona, Cavite, Calabarzon, 4116, Pilipinas",121.0388875,14.3105328
AI-generated Address,"125 Sapang Palay, Barangay Tungkong Mangga, San Jose del Monte, Bulacan","Barangay Tungkong Mangga, San Jose del Monte, Bulacan","Tungkong Mangga Barangay Hall, Bocaue Road, North Diamond Subdivision 1, Tungkong Mangga, San Jose del Monte, Bulacan, Central Luzon, 3023, Pilipinas",121.07619056216342,14.7891358
AI-generated Address,"125 Sapang Palay, Barangay Tungkong Mangga, San Jose del Monte, Bulacan","Barangay Tungkong Mangga, San Jose del Monte, Bulacan.","Tungkong Mangga Barangay Hall, Bocaue Road, North Diamond Subdivision 1, Tungkong Mangga, San Jose del Monte, Bulacan, Central Luzon, 3023, Pilipinas",121.07619056216342,14.7891358
AI-generated Address,"123 A. Bonifacio St., Barangay San Lorenzo, Makati City","123 A. Bonifacio Street, San Lorenzo, Makati City","A. Bonifacio Street, Ecology Village San Lorenzo Sector, Bangkal, District I, Makati, Southern Manila District, Metro Manila, 1233, Pilipinas",121.0158594,14.5416099
AI-generated Address,"45 Dapitan St., Brgy. Santa Cruz, Manila","Dapitan Street, Barangay Santa Cruz, Manila.","Dapitan Street, Barangay 319, Santa Cruz, Third District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9861357,14.6097347
AI-generated Address,"45 Dapitan St., Brgy. Santa Cruz, Manila","45 Dapitan Street, Barangay Santa Cruz, Manila.","Dapitan Street, Barangay 319, Santa Cruz, Third District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9861357,14.6097347
AI-generated Address,"45 Dapitan St., Brgy. Santa Cruz, Manila","Dapitan Street, Barangay Santa Cruz, Manila","Dapitan Street, Barangay 319, Santa Cruz, Third District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9861357,14.6097347
AI-generated Address,"2 Roxas Blvd., Brgy. Malate, Manila","Roxas Boulevard, Barangay Malate, Manila","Roxas Boulevard, Barangay 76, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9873512,14.5588583
AI-generated Address,"2 Roxas Blvd., Brgy. Malate, Manila","2 Roxas Boulevard, Barangay Malate, Manila","Roxas Boulevard, Barangay 76, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9873512,14.5588583
AI-generated Address,"17 Polk Street, Greenhills, San Juan City, Metro Manila","Polk Street, Greenhills, San Juan City, Metro Manila.","Polk Street, Greenhills, 2nd District, San Juan, Eastern Manila District, Metro Manila, 1502, Pilipinas",121.0440849,14.6065822
AI-generated Address,"17 Polk Street, Greenhills, San Juan City, Metro Manila","17 Polk Street, Greenhills, San Juan City, Metro Manila","Polk Street, Greenhills, 2nd District, San Juan, Eastern Manila District, Metro Manila, 1502, Pilipinas",121.0440849,14.6065822
AI-generated Address,"17 Polk Street, Greenhills, San Juan City, Metro Manila","17 Polk Street, Greenhills, San Juan City, Metro Manila.","Polk Street, Greenhills, 2nd District, San Juan, Eastern Manila District, Metro Manila, 1502, Pilipinas",121.0440849,14.6065822
AI-generated Address,"Lot 15, Block 9, Palm Village, Makati City","Palm Village, Makati City","Palm Village, District II, Makati, Southern Manila District, Metro Manila, Pilipinas",121.041421939843,14.56162275
AI-generated Address,"Lot 15, Block 9, Palm Village, Makati City","Palm Village, Makati City.","Palm Village, District II, Makati, Southern Manila District, Metro Manila, Pilipinas",121.041421939843,14.56162275
AI-generated Address,"123 Maria Clara St., Barangka, Mandaluyong City","Maria Clara Street, Barangka, Mandaluyong City.","Maria Clara Street, Barangka Drive, Mandaluyong, Eastern Manila District, Metro Manila, 1211, Pilipinas",121.0392957,14.5735579
AI-generated Address,"123 Maria Clara St., Barangka, Mandaluyong City","Maria Clara Street, Barangka, Mandaluyong City","Maria Clara Street, Barangka Drive, Mandaluyong, Eastern Manila District, Metro Manila, 1211, Pilipinas",121.0392957,14.5735579
AI-generated Address,"65 President's Avenue, Barangay BF Homes, Parañaque City","President's Avenue, BF Homes, Parañaque City","SM Supermarket, President's Avenue, Saint Rita Village, BF Homes, Parañaque, Southern Manila District, Metro Manila, 1700, Pilipinas",121.0329139,14.4575461
AI-generated Address,"Barangay San Antonio, Makati City, Metro Manila","Barangay San Antonio, Makati City, Metro Manila","San Antonio Barangay Hall, Lumbayao Street, San Antonio, District I, Makati, Southern Manila District, Metro Manila, 1203, Pilipinas",121.0086306,14.5622446
AI-generated Address,"Barangay San Antonio, Makati City, Metro Manila","Barangay San Antonio, Makati City, Metro Manila.","San Antonio Barangay Hall, Lumbayao Street, San Antonio, District I, Makati, Southern Manila District, Metro Manila, 1203, Pilipinas",121.0086306,14.5622446
AI-generated Address,"Barangay Kapitolyo, Pasig City, Metro Manila","Barangay Kapitolyo, Pasig City, Metro Manila","Kapitolyo Barangay Hall, Santa Rosa Street, Capitol, Kapitolyo, Pasig, Eastern Manila District, Metro Manila, 1603, Pilipinas",121.0593126093954,14.5714336
AI-generated Address,"Barangay Kapitolyo, Pasig City, Metro Manila","Barangay Kapitolyo, Pasig City, Metro Manila.","Kapitolyo Barangay Hall, Santa Rosa Street, Capitol, Kapitolyo, Pasig, Eastern Manila District, Metro Manila, 1603, Pilipinas",121.0593126093954,14.5714336
AI-generated Address,"Barangay Poblacion, Makati City, Metro Manila","Barangay Poblacion, Makati City, Metro Manila","South Poblacion Barangay Day Care Center, General Luna Street, Bel-Air Village Phase I and II, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0310125,14.5649423
AI-generated Address,"Barangay Poblacion, Makati City, Metro Manila","Barangay Poblacion, Makati City, Metro Manila.","South Poblacion Barangay Day Care Center, General Luna Street, Bel-Air Village Phase I and II, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0310125,14.5649423
AI-generated Address,"Barangay San Lorenzo, Makati City, Metro Manila","Barangay San Lorenzo, Makati City, Metro Manila","San Lorenzo Barangay hall, Amorsolo Street, San Lorenzo, District I, Makati, Southern Manila District, Metro Manila, 1223, Pilipinas",121.01825449480717,14.54510955
AI-generated Address,"Barangay San Lorenzo, Makati City, Metro Manila","Barangay San Lorenzo, Makati City, Metro Manila.","San Lorenzo Barangay hall, Amorsolo Street, San Lorenzo, District I, Makati, Southern Manila District, Metro Manila, 1223, Pilipinas",121.01825449480717,14.54510955
AI-generated Address,"Barangay Mabolo, Cebu City, Cebu","Barangay Mabolo, Cebu City, Cebu.","Mabolo Barangay Hall, M.J. Cuenco Avenue, Mabolo, Cebu City, Central Visayas, 6000, Pilipinas",123.91406679899734,10.313735
AI-generated Address,"Barangay Mabolo, Cebu City, Cebu","Barangay Mabolo, Cebu City, Cebu","Mabolo Barangay Hall, M.J. Cuenco Avenue, Mabolo, Cebu City, Central Visayas, 6000, Pilipinas",123.91406679899734,10.313735
AI-generated Address,"Unit 302, Magnolia Residences, New Manila, Quezon City","Unit 302, Magnolia Residences, New Manila, Quezon City","Magnolia Residences, Cubao, 4th District, Quezon City, Eastern Manila District, Metro Manila, Pilipinas",121.03916654287616,14.61430795
AI-generated Address,"Unit 302, Magnolia Residences, New Manila, Quezon City","Unit 302, Magnolia Residences, New Manila, Quezon City.","Magnolia Residences, Cubao, 4th District, Quezon City, Eastern Manila District, Metro Manila, Pilipinas",121.03916654287616,14.61430795
AI-generated Address,"56 Maginhawa Street, Barangay UP Village, Diliman, Quezon City","56 Maginhawa St., UP Village, Diliman, Quezon City","Garlic Kitchen, 56, Maginhawa Street, UP Village, Diliman, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1101, Pilipinas",121.0568538080808,14.6483764
AI-generated Address,"123 Brgy. San Antonio, Pasig City","Brgy. San Antonio, Pasig City","Barangay San Antonio Pocket Garden, San Antonio, Pasig, Eastern Manila District, Metro Manila, 1605, Pilipinas",121.06333594707496,14.5798518
AI-generated Address,"123 Brgy. San Antonio, Pasig City","Brgy. San Antonio, Pasig City.","Barangay San Antonio Pocket Garden, San Antonio, Pasig, Eastern Manila District, Metro Manila, 1605, Pilipinas",121.06333594707496,14.5798518
AI-generated Address,"Unit 301, Bel-Air Village, Makati City","Bel-Air Village, Makati City","Bel-Air Village Phase I and II, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0291406,14.5625073
AI-generated Address,"Unit 301, Bel-Air Village, Makati City","Bel-Air Village, Makati City.","Bel-Air Village Phase I and II, Poblacion, District I, Makati, Southern Manila District, Metro Manila, 1210, Pilipinas",121.0291406,14.5625073
AI-generated Address,"1563 Ipil St., Bacoor, Cavite","1563 Ipil Street, Bacoor, Cavite","Ipil Street, Meadowood Executive Village, Bacoor, Cavite, Calabarzon, 4102, Pilipinas",120.960213,14.4428035
AI-generated Address,"2021 Taft Avenue, Barangay Malate, Pasay City","2021 Taft Avenue, Barangay Malate, Pasay City","Taft Avenue, Barangay 33, Zone 3, District 1, Pasay, Southern Manila District, Metro Manila, 1234, Pilipinas",120.9958588,14.5595263
AI-generated Address,"2021 Taft Avenue, Barangay Malate, Pasay City","Taft Avenue, Barangay Malate, Pasay City","Taft Avenue, Barangay 33, Zone 3, District 1, Pasay, Southern Manila District, Metro Manila, 1234, Pilipinas",120.9958588,14.5595263
AI-generated Address,"987 Dahlia Street, Barangay Balulang, Cagayan de Oro City","987 Dahlia Street, Barangay Balulang, Cagayan de Oro City","Dahlia Street, Camella Homes, Balulang, Cagayan de Oro, Northern Mindanao, 9000, Pilipinas",124.6253131,8.4522365
AI-generated Address,"987 Dahlia Street, Barangay Balulang, Cagayan de Oro City","987 Dahlia Street, Brgy. Balulang, Cagayan de Oro City","Dahlia Street, Camella Homes, Balulang, Cagayan de Oro, Northern Mindanao, 9000, Pilipinas",124.6253131,8.4522365
AI-generated Address,"987 Dahlia Street, Barangay Balulang, Cagayan de Oro City","987 Dahlia Street, Brgy. Balulang, Cagayan de Oro City.","Dahlia Street, Camella Homes, Balulang, Cagayan de Oro, Northern Mindanao, 9000, Pilipinas",124.6253131,8.4522365
AI-generated Address,"654 Espana Boulevard, Barangay 461, Manila City","654 Espana Boulevard, Barangay 461, Manila City","España Boulevard, Barangay 462, Sampaloc, Fourth District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9880423,14.6054991
AI-generated Address,"654 Espana Boulevard, Barangay 461, Manila City","Espana Boulevard, Barangay, Manila City","España Boulevard, Barangay 462, Sampaloc, Fourth District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9883441,14.6057314
AI-generated Address,"852 Shaw Boulevard, Barangay Addition Hills, Mandaluyong City","852 Shaw Boulevard, Addition Hills, Mandaluyong City","Shaw Boulevard, Welfareville Compound, Addition Hills, Mandaluyong, Eastern Manila District, Metro Manila, 1550, Pilipinas",121.0359419,14.5894169
AI-generated Address,"123 Lantana St., New Manila, Quezon City","123 Lantana Street, New Manila, Quezon City","Lantana Street, Gilmore, Mariana, New Manila, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1112, Pilipinas",121.0397488,14.6206008
AI-generated Address,"123 Lantana St., New Manila, Quezon City","123 Lantana Street, New Manila, Quezon City.","Lantana Street, Gilmore, Mariana, New Manila, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1112, Pilipinas",121.0397488,14.6206008
AI-generated Address,"123 Lantana St., New Manila, Quezon City","Lantana Street, New Manila, Quezon City","Lantana Street, Gilmore, Mariana, New Manila, 4th District, Quezon City, Eastern Manila District, Metro Manila, 1112, Pilipinas",121.0397488,14.6206008
AI-generated Address,"Unit 301, Green Residences, Taft Ave., Malate, Manila","Green Residences, Taft Avenue, Malate, Manila","SM Green Residences, Taft Avenue, Barangay 726, Agno, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9924793607434,14.56737305
AI-generated Address,"123 Barangay Bagong Silangan, Quezon City","Barangay Bagong Silangan, Quezon City","Bagong Silangan Barangay Hall, Jupiter Street, Kumonoy, Bagong Silangan, 2nd District, Quezon City, Eastern Manila District, Metro Manila, 1119, Pilipinas",121.11054879662204,14.69784755
AI-generated Address,"123 Barangay Bagong Silangan, Quezon City","Barangay Bagong Silangan, Quezon City.","Bagong Silangan Barangay Hall, Jupiter Street, Kumonoy, Bagong Silangan, 2nd District, Quezon City, Eastern Manila District, Metro Manila, 1119, Pilipinas",121.11054879662204,14.69784755
AI-generated Address,"369 Barangay Malabanias, Angeles City","Barangay Malabanias, Angeles City","Barangay Hall Malabanias, Pagasa Street, Malabanias, Ninoy Aquino, Angeles, Central Luzon, 2009, Pilipinas",120.58981404987914,15.1515624
AI-generated Address,"369 Barangay Malabanias, Angeles City","Barangay Malabanias, Angeles City.","Barangay Hall Malabanias, Pagasa Street, Malabanias, Ninoy Aquino, Angeles, Central Luzon, 2009, Pilipinas",120.58981404987914,15.1515624
AI-generated Address,"Unit 702, Green Residences, Taft Avenue, Manila","Green Residences, Taft Avenue, Manila","SM Green Residences, Taft Avenue, Barangay 726, Agno, Malate, Fifth District, Manila, Capital District, Metro Manila, 1004, Pilipinas",120.9924793607434,14.56737305
AI-generated Address,"9101 España Blvd., Barangay 461, Manila City","9101 España Boulevard, Barangay 461, Manila City.","España Boulevard, Barangay 462, Sampaloc, Fourth District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9880423,14.6054991
AI-generated Address,"9101 España Blvd., Barangay 461, Manila City","9101 España Boulevard, Barangay 461, City of Manila","España Boulevard, Barangay 462, Sampaloc, Fourth District, Manila, Capital District, Metro Manila, 1015, Pilipinas",120.9880423,14.6054991
